Alias,Definition,Context,Context Description
Maximum_Attendance,"Maximum attendance refers to the highest number of participants or attendees allowed at an event, venue, or activity. It sets the upper limit on how many people can be present, often due to space, safety, or regulatory considerations.",p2881_course_profile,placeholder
Media,"Media refers to text, audio, or video used to convey information. Media can be consumed (tracked: completed), but doesn't have an interactive component that may result in a score, success, or failure.",ADL Vocabulary,The ADL vocabulary list includes Verbs and Activity Types used to represent common learning experiences in xAPI.
Meeting,A meeting is a gathering of multiple people for a common cause or interest.,ADL Vocabulary,The ADL vocabulary list includes Verbs and Activity Types used to represent common learning experiences in xAPI.
menu,A list of options in a software interface presented to a user to act on. A menu can be an entire user interface or only part of one. The menu Activity is the parent of the menu-item Activity.,Navy Common Reference Profile,ActivityType
menu,"A menu with several buttons/options whose selection produces different effects. Represents a menu, integrated in the user interface (UI), with several a options.",Serious Games Profile,ActivityType
menu-item,A single option in a software interface’s menu list of options. The menu-item is a child of the menu Activity.,Navy Common Reference Profile,ActivityType
message,Information that is communicated by or to or between individual actors or groups of actors.,AcrossX Profile,ActivityType
Module,"A module represents any ""content aggregation"" at least one level below the course level. Modules of modules can exist for layering purposes. Modules are not content. Modules are one level up from all content.",SCORM Profile,"The SCORM profile includes Verbs, Activity Types and xAPI Document definitions used to represent SCORM learning experiences in xAPI."
mouse,A mouse device whose clicks and movement affects the action in an activity. PC games are usually controlled by mouse interaction. This activity represents this device.,Serious Games Profile,ActivityType
MRC_ID,"""In the Navy, an MRC ID refers to the unique identifier assigned to a Maintenance Requirement Card (MRC). An MRC outlines the specific maintenance tasks required for a piece of equipment to ensure its operational readiness and reliability. The MRC ID helps in organizing, tracking, and referencing these cards within the Navy's maintenance management systems.",RRL_performance_support_video,Likely split this into MRC as well and just called it Id of MRC
Navy_Rating,"A Navy rating is a classification that denotes the specific skills and occupational specialties of enlisted personnel in the U.S. Navy. Each rating represents a particular job or role, such as Boatswain's Mate or Electronics Technician, and is identified by a unique badge worn on the uniform.",Target_Audience,placeholder
NEC,"The Navy Enlisted Classification (NEC) system is used to identify and document the specific skills, knowledge, and qualifications of enlisted personnel. Each NEC code represents a particular non-rating-wide skill or aptitude that is necessary for certain billets and roles within the Navy.",Target_Audience,Call this out as NEC?  Kind of like LRS?
non-player-character,A character that can offer a conversation or other type of interaction inside a game. Players usually have conversations with non-player characters.,Serious Games Profile,ActivityType
Note,Refers to an object that was annotated as part of the activity.,AcrossX Profile,AcrossX Profile
Note,"Represents a short-form text message. This object is intended primarily for use in ""micro-blogging"" scenarios and in systems where users are invited to publish short, often plain-text messages whose useful lifespan is generally shorter than that of an article of weblog entry. A note is similar in structure to an article, but typically does not have a title or distinct paragraphs and tends to be much shorter in length.",Activity Streams Vocabulary,An Activity type used when leveraging the activity stream xAPI profile. 
note annotation,Indicates an annotation made to a document of the note form. This is a string of text appended to the document at a specified location. Note annotations can be added anywhere on the page. This activity type should not be used for other types of note that are not annotations to a document.,PDF Annotator,ActivityType
Object_ID,"An Object ID is a unique identifier assigned to an object within a database or system. It helps to distinguish one object from another, ensuring that each object can be individually accessed and managed. This is particularly useful in contexts like databases, programming, and digital asset management.",RRL_performance_support_video,placeholder
Objective,An objective determines whether competency has been achieved in a desired area. Objectives typically are associated with questions and assessments. Objectives are not learning content and cannot be SCOs.,SCORM Profile,"Rubric criterion will need its own definition.  Can people agree on ""objective""- like a measurable / calculatable competency?"
Offer,Represents an offer of any kind.,Activity Streams Vocabulary,An Activity type used when leveraging the activity stream xAPI profile. 
Offered_By,"Offered by indicates the source or provider of a service, product, or opportunity. It specifies who is making something available. For example, a course might be offered by a university, or a discount might be offered by a store.",p2881_learning_resource,placeholder
On Demand Lab,A virtual lab built upon request which is used to prepare for a certification or elevated permissions.,TinCan Vocabulary,A list of vocabulary concepts originally created in the TinCan registry.
online-discussion,An exchange or communication on a topic by two or more actors in-person taking place online or virtually.,AcrossX Profile,ActivityType
Organization,Represents an organization of any kind.,Activity Streams Vocabulary,An Activity type used when leveraging the activity stream xAPI profile. 
Organization,"An organizational construct to structure content outside the organizational concepts specified in a profile. In most cases, organization activities are contextActivities (e.g., a parent), not the objects of statements.",Navy Common Reference Profile,"The Navy Common Reference Profile provides general types of tracking activities can be reused across multiple types of content with other Navy xAPI Profiles. Other, more specific, Navy xAPI Profiles can also reference and reuse the common xAPI Activities described in this document."
Organization,"An organization such as a company, which may hire, fire and promote employees.",TinCan Vocabulary,"May consider place where humans work...but then there are comptencies, owner, etc.  Could be an actor that is an organization..."
Owned_By,"Owned by indicates possession or control over something by a person, group, or entity. It specifies who holds the legal rights to a learning resource.",p2881_learning_resource,placeholder
Page,The single representation of a specific page number and the content on that page in any digitally or physically written material.,AcrossX Profile,AcrossX Profile
Page,"Represents an area, typically a web page, that is representative of, and generally managed by a particular entity. Such areas are usually dedicated to displaying descriptive information about the entity and showcasing recent content such as articles, photographs and videos. Most social networking applications, for example, provide individual users with their own dedicated ""profile"" pages. Several allow similar types of pages to be created for commercial entities, organizations or events. While the specific details of how pages are implemented, their characteristics and use may vary, the one unifying property is that they are typically ""owned"" by a single entity that is represented by the content provided by the page itself.",Activity Streams Vocabulary,An Activity type used when leveraging the activity stream xAPI profile. 
Paragraph,"A distinct division of written or printed matter that begins on a new, usually indented line, consists of one or more sentences, and typically deals with a single thought or topic or quotes one speaker's continuous words.",TinCan Vocabulary,A list of vocabulary concepts originally created in the TinCan registry.
Performance,"A performance is an attempted task or series of tasks within a particular context. Tasks would likely take on the form of interactions, or the performance could be self-contained content.",Activity Streams Vocabulary,An Activity type used when leveraging the activity stream xAPI profile. 
Performance,"A performance is an attempted task or series of tasks within a particular context. Tasks would likely take on the form of interactions, or the performance could be self-contained content. It emphasizes students or learners being able to do, or perform, specific skills as a result of the instruction.",ADL Vocabulary,The ADL vocabulary list includes Verbs and Activity Types used to represent common learning experiences in xAPI.
Person,"Represents an individual person. This activity type is included for data conversion with Activity Streams, it's not recommended for use in new Tin Can statements. Agent should be used instead of person.",Activity Streams Vocabulary,An Activity type used when leveraging the activity stream xAPI profile. 
photo,"Represents objects such as  ""captured with a camera,"" for example, assignments captured with a camera.",HyFlex classroom profile,ActivityType
Place,"Represents a physical location. Locations can be represented using geographic coordinates, a physical address, a free-form location name, or any combination of these. Objects of this type MAY contain the additional properties specified in Section 3.5.",Activity Streams Vocabulary,An Activity type used when leveraging the activity stream xAPI profile. 
Place,"Represents a physical location. Locations can be represented using geographic coordinates, a physical address, a free-form location name, or any combination of these",GeoLocation,"This profile is for applications that use positioning to capture location-based events. Examples of positioning include the use of concepts such as proximity, altitude, latitude and longitude."
Playlist,A collection of resources or experiences grouped together as recommended resources by an individual. Generally used for informally curated resources rather than official collections such as an LMS course.,TinCan Vocabulary,A list of vocabulary concepts originally created in the TinCan registry.
preflight,Activities of this type represent a collection of checks a pilot must make prior to flying ,Example Flight Simulation Profile,ActivityType
Prerequisite_Competencies,"Prerequisite competencies are the essential skills, knowledge, or abilities that a learner must possess before engaging in more advanced learning activities or courses. These competencies ensure that the learner is adequately prepared to understand and succeed in subsequent, more complex topics.",p2881-core,placeholder
Prerequisite_Learning_Resources,"Prerequisite learning resources are materials or content that provide foundational knowledge or skills necessary before advancing to more complex topics included in the current learning resource. By completing the prerequisite learning resources, individuals are able to learn the essential background needed to understand and succeed in subsequent learning activities.",p2881-core,placeholder
Prerequisites,"Prerequisites are conditions or requirements that must be met before proceeding to a subsequent stage or activity. They ensure that individuals have the necessary background, skills, or knowledge to successfully engage in more advanced tasks.",p2881-core,placeholder
printed-assessment,"A written examination or test provided in paper form, and intended to be completed using a pencil or pen.",AcrossX Profile,ActivityType
printed-assessment,"A written examination or test that is provided in paper form, and intended to be completed using a pencil or pen.",BOLL Profile,ActivityType
printed-book,A written work or composition that has been physically printed on paper pages bound together.,AcrossX Profile,ActivityType
printed-worksheet,"A page or group of pages containing problems, exercises, or instructions for learning activities.",AcrossX Profile,ActivityType
procedure,A procedure is a sequence of steps that are followed systematically to achieve a task or make a decision.,Performance Support Profile,ActivityType
Procedure_Man_Hours,"In the Navy, procedure man hours refer to the total amount of labor time required to complete a specific procedure. This metric helps in planning, scheduling, and allocating the necessary personnel to ensure that maintenance or operational tasks are performed efficiently and effectively.",RRL_performance_support_video,placeholder
Procedure_MIP_Series,"In the Navy, a Procedure MIP Series refers to a set of Maintenance Index Pages (MIPs) that outline the scheduled maintenance tasks for specific equipment or systems. Each MIP in the series provides detailed instructions and intervals for performing maintenance, ensuring the equipment remains operational and reliable. The series helps organize and manage maintenance procedures systematically.",RRL_performance_support_video,Define MIPs
Procedure_Periodicity,"Procedure periodicity refers to the regular intervals at which a specific procedure is performed. This concept is crucial in maintenance, healthcare, and various other fields to ensure tasks are completed consistently and on schedule.",RRL_performance_support_video,placeholder
Procedure_Rates,Refers to the Navy Ratings that perform specific maintenance or operational procedures.,RRL_performance_support_video,possibly find a way to remove in Navy
Procedure_Title,"A procedure title is the name given to a specific procedure or set of instructions. It provides a clear and concise description of the procedure’s purpose, helping users quickly understand what the procedure entails.",RRL_performance_support_video,May end up being competency
Procedure_Total_Man_Hours,"In the Navy, procedure total man hours refer to the cumulative amount of labor time required to complete a specific procedure. This metric is essential for planning, scheduling, and allocating the necessary personnel to ensure that maintenance or operational tasks are performed efficiently and effectively.",RRL_performance_support_video,Unsure how this is different?
Process,"Represents any form of process. For instance, a long-running task that is started and expected to continue operating for a period of time.",Activity Streams Vocabulary,An Activity type used when leveraging the activity stream xAPI profile. 
Proctor,Proctor refers to an individual who supervises and monitors students during a learning event to ensure that the rules and regulations are followed. The proctor’s role is to maintain the integrity of the event and provide assistance with procedural questions.,p2881_learning_event,placeholder
Product,Represents a commercial good or service. Objects of this type MAY contain an additional fullImage property whose value is an Activity Streams Media Link to an image resource representative of the product.,Activity Streams Vocabulary,An Activity type used when leveraging the activity stream xAPI profile. 
profile,A profile is an activity that defines a set of rules and recommendations for generating xAPI statements for a particular domain. The inclusion of a profile activity in a statement identifies that statement as following the rules outlined in the profile.,SCORM Profile,ActivityType
program,A collection of activities such as courses and work items that collectively define a specific goal or career.,BOLL Profile,ActivityType
Project,"A project is a specific plan or set of tasks with a common goal. It can have subtasks and subgoals, resources, etc..",TinCan Vocabulary,A list of vocabulary concepts originally created in the TinCan registry.
Project Site,"A site, perhaps within a project management tool or social platform, used to manage a particular project.",TinCan Vocabulary,A list of vocabulary concepts originally created in the TinCan registry.
Publisher,"The publisher indicates the entity or individual responsible for making a learning resource available for consumption. It specifies who has issued or distributed the content. For example, a book might be published by a specific publishing house, or an article might be published by a particular magazine or website.",p2881_learning_resource,placeholder
quest,A accomplishable challenge or mission presented inside a game. Completing quests marks the players' progress.,Serious Games Profile,ActivityType
Question,Represents a question or a poll. Objects of this type MAY contain an additional options property whose value is an Array of possible answers to the question in the form of Activity Stream objects of any type.,Activity Streams Vocabulary,An Activity type used when leveraging the activity stream xAPI profile. 
Question,"A question is typically part of an assessment and requires a response from the learner, a response that is then evaluated for correctness.",ADL Vocabulary,The ADL vocabulary list includes Verbs and Activity Types used to represent common learning experiences in xAPI.
Recipe,"A recipe is an Activity that is used in the Context Activities ""category"" property of a Statement to indicate that the Statement is part of a pre-defined model that can be expected to have certain properties, object identifiers, or structure. Statements adhering to a particular recipe are recognizable by reporting systems for the purposes of testing, interoperability, etc.",TinCan Vocabulary,A list of vocabulary concepts originally created in the TinCan registry.
Registration_End_Date,"Registration end date refers to the specific day on which the process of enrolling or signing up for a course, event, or program concludes. It marks the closing of the registration period.",p2881_course_profile,placeholder
Registration_Start_Date,"Registration start date refers to the specific day on which the process of enrolling or signing up for a course, event, or program begins. It marks the opening of the registration period.",p2881_course_profile,placeholder
Remote Lab Experiment,A remote lab experimentation is the act of experimenting with a real lab apparatus through the Internet.,TinCan Vocabulary,A list of vocabulary concepts originally created in the TinCan registry.
Research Report,A research report from a government organization or other authoritative body giving information or proposals on an issue.,TinCan Vocabulary,A list of vocabulary concepts originally created in the TinCan registry.
Resolution,"Resolution refers to the clarity or detail of an image or video, typically measured in pixels. Higher resolution means more detail and sharper images, while lower resolution results in less detail and blurrier images.",p2881_technical_information,placeholder
Resource,"A resource is a generic item that the actor may use for something. It could be a video, a text article, a device, etc. However, it is recommended to use a more specific activity type like those mentioned.",TinCan Vocabulary,"May or may not be expendible, may want two definitions"
Review,Represents a primarily prose-based commentary on another object. Objects of this type MAY contain a rating property as specified in Section 4.4.,Activity Streams Vocabulary,An Activity type used when leveraging the activity stream xAPI profile. 
Review Publication,http://xapi.org.au/contentprofile/activitytype/review_publication,Unowned,A list of vocabulary concepts originally created in the TinCan registry.
Reward,Refers to a compensation that the actor wants to get for achieving something.,TinCan Vocabulary,A list of vocabulary concepts originally created in the TinCan registry.
Safety_Factors,"Safety factors refer to the precautions and measures that need to be considered to ensure the safety of individuals and resources during a particular event or when using a specific resource. These factors help identify potential risks and implement strategies to mitigate them, ensuring a safe environment.",p2881_technical_information,placeholder
Sales Opportunity,"Represents a sales opportunity, such as one might create in a CRM tool.",TinCan Vocabulary,A list of vocabulary concepts originally created in the TinCan registry.
Scenario,"Scenario - scenario based learning - is delivering the content embedded within a story or scenario rather than just pushing the content straight out. Usually a story or a situation is presented to ask for learner's action, feedback or branching follow. In this way learners see how the learning is applied to job environments or real world problems.",Activity Streams Vocabulary,Define use case
Scenario,"Scenario - scenario based learning - is delivering the content embedded within a story or scenario rather than just pushing the content straight out. Usually a story or a situation is presented to ask for learner's action, feedback or branching follow. In this way learners see how the learning is applied to job environments or real world problems.",TinCan Vocabulary,Define use case
Scenes,"Scenes are distinct parts of a play, movie, book, or other narrative work where a specific set of events occurs in a single location and time frame. They help to organize the story into manageable segments, making it easier for the audience to follow the plot.",p2881_technical_information,placeholder
School Assignment,"A school task performed by a student to satisfy the teacher. Examples are assessments, assigned reading, practice exercises, watch video, etc.",TinCan Vocabulary,A list of vocabulary concepts originally created in the TinCan registry.
SCORM Activity Attempt State,"The SCORM Activity Attempt State Object contains the state data for the specified attempt on an Activity. It has the following properties: credit, mode, location, preferences, total_time, and adl_data.",SCORM Profile,SCORM Profile
SCORM Activity Profile,Used to store document data associated with the activity and not intended to capture learning experience data in the form of a statement. The SCORM Activity Profile Object contains the profile data for the specified Activity.,SCORM Profile,SCORM Profile
SCORM Activity State,Used to store document data associated with the activity and not intended to capture learning experience data in the form of a statement. The SCORM Activity State Object contains a list of Attempt IRIs for the specified Activity.,SCORM Profile,SCORM Profile
SCORM Agent Profile,"The SCORM Activity State Object contains the profile data for the specified Agent. The agent profile has three properties: learner_id, learner_name, and preferences. ",SCORM Profile,placeholder
screen,"A game screen where a concrete game task is developed. Games are usually composed by a set of screens the player navigates. A screen has a concrete function within the game. A screen contains a menu, or the gameplay. To define virtual zones inside the game world, it is recommended to use area or zone.",Serious Games Profile,ActivityType
search-engine,A software program that searches a database and gathers and reports information that contains or is related to specified terms.,AcrossX Profile,ActivityType
second device,"A supplementary device for participating in hyflex classes. For example, there is a pad for drawing.",HyFlex classroom profile,ActivityType
Section,"It's to indicate the section this statement is related to, used for ebook in AcrossX.",AcrossX Profile,AcrossX Profile
Section,"A section of an application or platform. For sales performance app might be divided into client demo, learning materials and reference documents sections.",TinCan Vocabulary,A list of vocabulary concepts originally created in the TinCan registry.
Section,"A section of an application or platform. For sales performance app might be divided into client demo, learning materials and reference documents sections.",TinCan Vocabulary,A list of vocabulary concepts originally created in the TinCan registry.
Security Role,A feature that enables system administrators to restrict system access and manage access on a per-user or per-group basis.,TinCan Vocabulary,Define role
Series,http://xapi.org.au/contentprofile/activitytype/series,Unowned,Math of an ordered set
serious-game,"A game designed for a primary purpose other than pure entertainment. For instance, an educational game or a game-like simulation. A serious game is the root container for the rest of game elements.",Serious Games Profile,ActivityType
Service,"Represents any form of hosted or consumable service that performs some kind of work or benefit for other entities. Examples of such objects include websites, businesses, etc.",Activity Streams Vocabulary,An Activity type used when leveraging the activity stream xAPI profile. 
Simple Collection,"It is a collection of items of the same activity type, for example, a collection of games. The collection can be generic, that is, the activity type of the items can be specified using the extension 'collection type', but it is optional.",TinCan Vocabulary,Define set (math)
Simulation,"A simulation is an attempted task or series of tasks in an artificial context that mimics reality. Tasks would likely take on the form of interactions, or the simulation could be self-contained content.",ADL Vocabulary,The ADL vocabulary list includes Verbs and Activity Types used to represent common learning experiences in xAPI.
Simulation Session,Activities of this type represent a block of time during which a Learner engaged with / within a simulation,Example Flight Simulation Profile,ActivityType
Simulation Session,https://profiles.adlnet.gov/xapi/917114b6-71b4-4fcd-b6d3-892890594446/activitytype/Preflight,Flight Simulation Session,A list of vocabulary concepts originally created in the TinCan registry.
Simulation Session,Flight Simulation Session,Orphan Container Profile,ActivityType
Simulation Session,https://profiles.adlnet.gov/xapi/adl/flight-sim-example/activitytype/simulation-session,Unowned,Orphan Container Profile
Slide,Slides are defined as a single page of a presentation or e-learning lesson.,TinCan Vocabulary,A list of vocabulary concepts originally created in the TinCan registry.
Slide Deck,A deck of slides generally used for a presentation.,TinCan Vocabulary,A list of vocabulary concepts originally created in the TinCan registry.
Solution,"Refers to the answer for a doubt that provides a solution. If the answer is not a solution, it should be coded as answer, or if it is just a comment, as comment.",TinCan Vocabulary,A list of vocabulary concepts originally created in the TinCan registry.
Source,"Used with activities within the Context Activities ""category"" property of a Statement. Indicates the authoring tool, template or framework used to create the activity provider. This may help reporting tools to recognise that that data has come from a particular origin and handle the data correctly based on that information.",TinCan Vocabulary,"""start point"" and ""end point"" basically, so why not use source and destination"
speak,Indicates the actor is speaking.,HyFlex classroom profile,ActivityType
Squadron,"A squadron is a principal organizational unit in the Air Force, typically comprising a number of aircraft and their aircrews, usually of the same type. Squadrons also include non-flying units such as maintenance, communications, or medical teams. Squadrons are the basic building blocks of larger units, such as groups and wings.",Target_Audience,placeholder
Standards Document,"A document whose content has received endorsement by a recognised authority and provides requirements, specifications, guidelines or characteristics that can be used consistently to ensure that materials, products, processes and services are fit for their purpose",Unowned,define standards
Start_Date,"Start date refers to the specific day on which an event, project, or activity begins. It marks the commencement of a period or schedule.""",p2881_learning_event,A list of vocabulary concepts originally created in the TinCan registry.
Status Update,A status update e.g. on a social platform.,TinCan Vocabulary,context social?
Step,"A step is one of several actions that the actor has to do to achieve something, for instance, a goal or the completion of a task. For instance, a method, strategy or task could be divided into smaller steps.",TinCan Vocabulary,A list of vocabulary concepts originally created in the TinCan registry.
Step_Number,"In the Navy, a step number refers to the specific sequence number assigned to each individual action or task within a procedure. This numbering helps ensure that tasks are performed in the correct order, enhancing clarity, efficiency, and safety during the execution of maintenance or operational procedures.",RRL_performance_support_video,placeholder
Step_Order,"In the Navy, step order refers to the specific sequence in which individual actions or tasks within a procedure must be performed.",RRL_performance_support_video,placeholder
Strategy,"A strategy is a plan or method for achieving any specific goal, and can be formed by a group of steps.",TinCan Vocabulary,considered proposed
Subcategory,"Activity generally used in the ""category"" Context Activities lists to mark a statement as being related to a particular subject area. Distinct from tag in that it is used in conjunction with Category to imply a hierarchy of categorization.",TinCan Vocabulary,"The notion of a category being below another isn't important, it is about membership in a set.  It would simply be a member of a larger set and a smaller set."
Subject,"A subject refers to a broad area or field of knowledge that encompasses various specific topics. It represents the overarching theme or concept within which different aspects and subtopics are explored. For example, 'Mathematics\"" is a subject that includes topics like algebra, geometry, and calculus.",p2881-core,placeholder
Subject_Grade_Level,Subject grade level refers to the specific grade or educational stage at which a particular learning resource is targeted. It indicates the complexity and depth of the subject matter appropriate for students at that grade level.,p2881_learning_resource,placeholder
Subject_Reading_Level,"Subject reading level refers to the complexity and difficulty of reading materials within a specific subject area, tailored to match the reading abilities of the intended audience. It helps ensure that the content is appropriate for the reader's comprehension skills, facilitating effective learning and understanding.",p2881_learning_resource,placeholder
Suggestion,A posted suggestion or idea. Typically these are things that can be discussed and/or voted on.,TinCan Vocabulary,Have to deconflict suggestion vs order
Survey,A survey where the respondent answers questions.,TinCan Vocabulary,"Not mentioning assessment (if can negate assessment here, better)"
Survey,"A poll, question or set of questions posed of one or more participants to determine their viewpoints or the manner in which they act.",xAPI Content Repository,"This is a profile for describing content repository items and interactions with content items. These include materials published to CMS, LMS etc. It provides new terms and also alternatives to terms that otherwise are found only in deprecated profiles such as Activity Streams 1.0."
Syllabus,"Syllabus refers to an outline or summary of the topics, objectives, and materials to be covered in a course or educational program. It typically includes information about assignments, readings, exams, and important dates, providing students with a roadmap of what to expect throughout the course.",p2881_course_profile,consider metadata instead of properties
syllabus event,"Any individual academic lesson, ground training lesson, aircraft sortie, or simulator sortie. These are the fundamental building blocks of the syllabus and are assigned a lesson designator key (e.g. “IN101”, “FT5002”). A unit may have one or more events.  ",Syllabus Events,ActivityType
syllabus phase,A major division of the training program. A training program may have one or more phases.,Syllabus Events,"just phase, syllabus does nothing"
syllabus unit,One “block” of training within a syllabus phase. Phases may have one or more unit of training.,Syllabus Events,ActivityType
tag,Activity generally used in the other or grouping Context Activities lists to mark a statement as being related to a particular subject area. Implemented as a one word identifier used for search filtering or tag cloud generation.,TinCan Vocabulary,ActivityType
Task,Represents an activity that has yet to be completed. Objects of this type can contain additional properties as specified in Section 3.6.,Activity Streams Vocabulary,placeholder
Task,A task is a collection of steps that results in a specific performance outcome.,Performance Support Profile,The Performance Support Profile was created to identify and standardize the common types of performance support concepts and interactions that can be tracked with xAPI.
Teaches,"Teaches means to impart knowledge, skills, or information to someone through instruction, demonstration, or guidance. It involves helping others learn and understand new concepts or abilities.",p2881-core,define opportunity
Technical Report,http://xapi.org.au/contentprofile/activitytype/technical_report,Unowned,placeholder
Technical_Document_ID,"A Technical Document ID is a unique identifier assigned to a specific technical document. This ID helps in organizing, tracking, and referencing the document within a system or database, ensuring that it can be easily accessed and managed by users and stakeholders.",RRL_performance_support_video,placeholder
Technical_Requirements,"Refers to the specific technical specifications and resources needed to ensure successful execution. These requirements can include hardware (e.g., computers, projectors), software (e.g., learning management systems, presentation tools), internet connectivity, and other technical support elements necessary to facilitate the learning experience.",p2881_technical_information,define logistics
test data batch,A test data batch is an Activity that is used in the Context Activities category property of a Statement to indicate that the Statement is part of a particular collection of test data. The Id of this Activity represents a single collection of test data e.g. the data generated for a particular test or by a particular tool.,TinCan Vocabulary,define artificial
Thesis,"A long essay involving original research that has been written by a candidate for a university degree, usually at postgraduate level. For avoidance of doubt, this Activity Type should not be used to refer to an hypothesis or theory itself and refers to a written thesis.",Unowned,Content Repository
Three Dimensional Model,"A physical construction or a three&ndash;dimensional graphical depiction of an object or concept in such a way that three dimensions (such as height, width and depth) are measurable.",Unowned,placeholder
Thumbnail,"A thumbnail is a small, reduced-size version of a larger image or video, used to help recognize and organize content. Thumbnails serve as visual previews, making it easier to browse and select items from a collection.",p2881-core,placeholder
Time_Required,"Time required refers to the amount of time needed to complete a specific task or activity. It indicates how long something will take from start to finish. For example, if you have a class that is held weekly for 90 minutes over 9 weeks, the Time Required is 810 minutes. In this example, the duration is 9 weeks.",p2881_learning_resource,placeholder
Title,"A title is the distinct name given to a learning resource or event, such as a book, movie, a webinar, or piece of music. It serves as a descriptive heading that identifies and distinguishes the work from others.",p2881-core,placeholder
touchscreen,A screen the player can touch or press.,Serious Games Profile,ActivityType
training program,"An entire program of U.S. Air Force flying instruction, such as T-6A Undergraduate Pilot Training (UPT) or T-38C Fighter Bomber Fundamentals (FBF). ",Syllabus Events,ActivityType
tutor session,This represents a tutoring session.,TinCan Vocabulary,Do we mention informal?  Not a class?
tweet,A short message sent on Twitter. Used with the 'tweeted' verb.,TinCan Vocabulary,Twitter domain
underline annotation,An annotation of the underline type. Underlines are used to mark strings of text in a document with a line underneath the text. This activity type should only be used for underlined text and not for images or other elements.,PDF Annotator,ActivityType
unit test,A unit test in a test suite that is part of a programming project.,TinCan Vocabulary,ActivityType
unit test suite,Suite of unit tests used by a programming project.,TinCan Vocabulary,ActivityType
Uploaded Response,Identifies the attachment as an interaction response from the learner in the form of an uploaded file. ,Unowned,placeholder
Use_Rights,"Use rights refer to the legal permissions granted to an individual or entity to utilize a resource, property, or intellectual property in a specified manner. These rights define how, when, and under what conditions the resource can be used.",p2881_learning_resource,placeholder
user profile,A page displaying information about a user.,TinCan Vocabulary,ActivityType
User_Technical_Requirements,"User technical requirements refer to the specific technical needs and specifications that must be met to ensure a system, software, or service functions effectively for its intended users. These requirements can include hardware specifications, software compatibility, network connectivity, and other technical aspects that support the user experience.",p2881_technical_information,placeholder
Version,"A version is a specific form or variant of something that differs from other forms of the same thing. It can refer to different editions of a product, software, document, or creative work, each with unique features or updates.",p2881_learning_resource,"Could say it is part of the software identifier, but I think a new version makes a new software id"
Video,A recording of audible and visual content intended to be shown on a video display.,AcrossX Profile,AcrossX Profile
Video,Represents video content of any kind. Objects of this type MAY contain additional properties as specified in Section 3.1.,Activity Streams Vocabulary,An Activity type used when leveraging the activity stream xAPI profile. 
Video,A recording of both the visual and audible components made available on a display screen.,Video Profile,The video profile of the xAPI was created to identify and standardize the common types of interactions that can be tracked in any video player.
virtual classroom,Consists of a live classroom session conducted online.,Orphan Container Profile,ActivityType
virtual classroom,Consists of a live classroom session conducted online.,Virtual classroom,ActivityType
vocabulary word,"Refers to a word that the learner defines or translates. The vocabulary word can be part of a collection. that is part of a vocabulary collection. An actor can use more than one vocabulary collection, for instance, for several languages or several topics. Besides the “name” (the word) and a “description” (meaning or translation), we recommend the use of moreInfo to link to a definition in an online dictionary. As an option, you can use the extension tags to classify the words.",TinCan Vocabulary,ActivityType
voicemail,"A recorded audio message left for someone, generally via a phone or similar communication system.",TinCan Vocabulary,ActivityType
webinar,A seminar conducted over the Internet which may be live or recorded.,TinCan Vocabulary,ActivityType
webpage,A web document (usually HTML-based) accessible by anyone connected to the internet and by using a web browser.,AcrossX Profile,ActivityType
whisper,A message sent privately.,HyFlex classroom profile,ActivityType
Working Paper,A preliminary scientific or technical paper or preprint. Working papers are often distributed in order to promote discussion or elicit feedback prior to redrafting the report for formal publication ,xAPI Activity Type,cmi5 Profile
zone,"An identified zone inside an area of the game world. A zone is inside an area, and defines a logic self-contained place.",Serious Games Profile,ActivityType
